book_score	book_name	author	comment
8.2	盗墓笔记2	南派三叔 	秦岭神树细思极恐
8.2	大地之灯	七堇年 	两代人的成长与救赎
8.2	骆驼祥子	老舍 	如骆驼喘息般深刻的绝望
8.2	橙	安东尼 	定做一个刻着“不过如此”的章，盖在封面上
8.2	长恨歌	王安忆 	现代上海史诗
8.2	菊与刀	（美）鲁思?本尼迪克特 	复杂矛盾的日本民族
8.2	那些年，我们一起追的女孩	九把刀 	那些年错过的大雨
8.2	伊豆的舞女	[日] 川端康成 	静美又残酷，无限柔软的川端
8.2	天使与魔鬼	[美] 丹.布朗 	科学与宗教的大乱斗
8.2	佛祖在一号线	李海鹏 	嬉笑怒骂的常识分子
8.1	情人	[法] 玛格丽特·杜拉斯 	我已经老了，你呢？
8.1	喜宝	亦舒 	爱情才是终极的奢侈品
8.1	海边的卡夫卡	[日] 村上春树 	背负诅咒的少年，平行世界中的奥德赛
8.1	遇见未知的自己	张德芬 	都市灵修速成
8.1	当我谈跑步时我谈些什么	[日] 村上春树 	村上同志告诉我们，身体是革命的本钱
8.1	羊脂球	（法）莫泊桑 	资产阶级的道貌岸然
8.1	麦田里的守望者	[美国] J. D. 塞林格 	反英雄霍尔顿的一生
8.1	鬼吹灯之精绝古城	天下霸唱 	盗墓祖师名不虚传
8.1	时间旅行者的妻子	[美] 奥德丽·尼芬格 	在时间的缝隙中穿行，然后相遇
8.1	常识	梁文道 	献给这个常识稀缺的时代
8.1	步步惊心	桐华 	现世太苦，不如穿越回去从头来过
8.1	孤独六讲	蒋勋 	作为一种美学的孤独
8.1	失恋33天	鲍鲸鲸 	失恋是一种病，痊愈之后百毒不侵
8.1	东霓	笛安 	自毁而偏执的东霓
8.1	一个人的朝圣	【英】蕾秋·乔伊斯 	
8	挪威的森林	[日] 村上春树 	村上之发轫，多少人的青春启蒙
8	微微一笑很倾城	顾漫 	一场盛大的意淫
8	莲花	安妮宝贝 	三个生命的交逢，灵魅清冷
8	鲁滨逊漂流记	[英] 笛福 	最早的荒野求生
8	蔷薇岛屿	安妮宝贝 	你们不会彼此遗忘。只会彼此消失
8	最初的爱情 最后的仪式	[英] 伊恩·麦克尤恩 	别被封面骗了
8	鬼吹灯之云南虫谷	天下霸唱 	恐虫症慎入
7.9	1988：我想和这个世界谈谈	韩寒 	车手韩寒的公路小说
7.9	三生三世 十里桃花	唐七公子 	大风刮过有话要说
7.9	麦田里的守望者	[美国] J. D. 塞林格 	塞林格的麦田里，到处是坠落的青春
7.9	西决	笛安 	无关风月的非典型青春小说
7.9	清醒纪	安妮宝贝 	遗忘就和记得一样是送给彼此的纪念
7.9	佳期如梦	匪我思存 	玛丽苏成人童话
7.9	拆掉思维里的墙	古典 	解放思想，实事求是
7.8	何以笙箫默	顾漫 	倒追有风险，入行需谨慎
7.8	杜拉拉升职记	李可 	职场丛林生存手册
7.8	致我们终将逝去的青春	辛夷坞 	青春总是用残忍的方式提醒你它已退场
7.8	独唱团（第一辑）	韩寒 主编 	独唱的人多了，也便成了团
7.8	素年锦时	安妮宝贝 	呢喃自语，清简自持
7.8	彼岸花	安妮宝贝 	安妮宝贝第一部长篇，现实与虚构的重合
7.8	偷影子的人	(法)马克·李维 	为偷来的影子找到光芒
7.8	芒果街上的小屋	[美国] 桑德拉·希斯内罗丝 	那些微尘般漂浮的生活
7.8	山楂树之恋	艾米 	明净单纯
7.8	且听风吟	[日] 村上春树 	我们通过孤独与世界沟通
7.8	在路上	[美] 杰克·凯鲁亚克 	我们非去不可，在到达之前，永不停止
7.8	当我们谈论爱情时我们在谈论什么	[美] 雷蒙德·卡佛 	疏离而断裂，生活的冷与干涩
7.8	水仙已乘鲤鱼去	张悦然 	暴食与减肥的桥段印象深刻
7.7	文化苦旅	余秋雨 	“历史文化散文”
7.7	洛丽塔	[美] 弗拉基米尔·纳博科夫 	我的生命之光，我的欲望之火
7.7	二三事	安妮宝贝 	关于遗忘和记得的故事
7.7	被窝是青春的坟墓	七堇年 	“要有最朴素的生活，与最遥远的梦想“
7.7	关于莉莉周的一切	[日] 岩井俊二 	残酷青春的艰难呼吸
7.7	巴别塔之犬	[美] 卡罗琳·帕克丝特 	超越语言与生死的爱
7.6	放学后	[日]东野圭吾 	东野圭吾处女作
7.6	一个人的好天气	[日] 青山七惠 	冬日暖阳的温煦感
7.6	岛上书店	[美] 加·泽文 	爱书的人从不孤独
7.6	钢铁是怎样炼成的	[苏] 尼·奥斯特洛夫斯基 	激情燃烧的岁月，特殊年代的经典
7.6	小团圆	张爱玲 	自传性作品，团圆只存在幻灭之中
7.6	年华是无效信	落落 	女生间的微妙友谊
7.6	原来你还在这里	辛夷坞 	还在的只有回忆
7.6	皮囊	蔡崇达 	皮囊之下，骨肉相连
7.6	1Q84 BOOK 3	[日] 村上春树 	兜了一大圈，村上还是回归了他的小确幸
7.6	不朽	落落 	所有须臾，化为不朽
7.5	他的国	韩寒 	总有光芒将你引导到清澈的地方
7.5	八月未央	安妮宝贝 	八月是一阵季风，生命是一场幻觉
7.5	幻夜	〔日〕东野圭吾 	《白夜行》续篇，恶的幻夜吞噬一切
7.5	告别薇安	安妮宝贝 	七月与安生
7.5	曾有一个人，爱我如生命	舒仪 	一见嘉遇误终身
7.4	三重门	韩寒 	“我是金子，我要发光的”
7.4	长安乱	韩寒 	韩少也会借古喻今了
7.4	第一次的亲密接触	蔡智恒 	那时候，去麦当劳约会还很高端……
7.4	一座城池	韩寒 	可能是韩寒最好笑的小说
7.4	兄弟（下）	余华 	失控边缘的下部，但谁说荒诞就是不真
7.4	我们台湾这些年	廖信忠 	平民视角下的台湾大事记
7.4	乖，摸摸头	大冰 	他人的生活总是比你的精彩
